date,weekday,wday,month,year,d,event_type_1,event_type_2,snap_CA,snap_TX,snap_WI,FOODS,HOBBIES,HOUSEHOLD,days,Day_name,Week,Month,is_holiday,is_workingday
2011-01-29,Saturday,1,1,2011,d_1,,,0,0,0,23178.0,3764.0,5689.0,d_1,Saturday,4,1,0,0
2011-01-30,Sunday,2,1,2011,d_2,,,0,0,0,22758.0,3357.0,5634.0,d_2,Sunday,4,1,0,0
2011-01-31,Monday,3,1,2011,d_3,,,0,0,0,17174.0,2682.0,3927.0,d_3,Monday,5,1,0,1
2011-02-01,Tuesday,4,2,2011,d_4,,,1,1,0,18878.0,2669.0,3865.0,d_4,Tuesday,5,2,0,1
2011-02-02,Wednesday,5,2,2011,d_5,,,1,0,1,14603.0,1814.0,2729.0,d_5,Wednesday,5,2,0,1
2011-02-03,Thursday,6,2,2011,d_6,,,1,1,1,22093.0,3220.0,3898.0,d_6,Thursday,5,2,0,1
2011-02-04,Friday,7,2,2011,d_7,,,1,0,0,20490.0,2944.0,4576.0,d_7,Friday,5,2,0,1
2011-02-05,Saturday,1,2,2011,d_8,,,1,1,1,27751.0,3986.0,6195.0,d_8,Saturday,5,2,0,0
2011-02-06,Sunday,2,2,2011,d_9,Sporting,,1,1,1,24862.0,2899.0,4975.0,d_9,Sunday,5,2,0,0
2011-02-07,Monday,3,2,2011,d_10,,,1,1,0,18901.0,2615.0,4056.0,d_10,Monday,6,2,0,1
2011-02-08,Tuesday,4,2,2011,d_11,,,1,0,1,16963.0,2547.0,3561.0,d_11,Tuesday,6,2,0,1
2011-02-09,Wednesday,5,2,2011,d_12,,,1,1,1,17655.0,2457.0,3546.0,d_12,Wednesday,6,2,0,1
2011-02-10,Thursday,6,2,2011,d_13,,,1,0,0,17340.0,2700.0,3716.0,d_13,Thursday,6,2,0,1
2011-02-11,Friday,7,2,2011,d_14,,,0,1,1,19038.0,2822.0,4585.0,d_14,Friday,6,2,0,1
2011-02-12,Saturday,1,2,2011,d_15,,,0,1,1,25187.0,3699.0,5947.0,d_15,Saturday,6,2,0,0
2011-02-13,Sunday,2,2,2011,d_16,,,0,1,0,26656.0,3417.0,6307.0,d_16,Sunday,6,2,0,0
2011-02-14,Monday,3,2,2011,d_17,Cultural,,0,0,1,16015.0,2233.0,3556.0,d_17,Monday,7,2,0,1
2011-02-15,Tuesday,4,2,2011,d_18,,,0,1,1,17425.0,2554.0,4091.0,d_18,Tuesday,7,2,0,1
2011-02-16,Wednesday,5,2,2011,d_19,,,0,0,0,15351.0,2170.0,3922.0,d_19,Wednesday,7,2,0,1
2011-02-17,Thursday,6,2,2011,d_20,,,0,0,0,14290.0,2049.0,3979.0,d_20,Thursday,7,2,0,1
2011-02-18,Friday,7,2,2011,d_21,,,0,0,0,16594.0,2284.0,4843.0,d_21,Friday,7,2,0,1
2011-02-19,Saturday,1,2,2011,d_22,,,0,0,0,20938.0,4142.0,6609.0,d_22,Saturday,7,2,0,0
2011-02-20,Sunday,2,2,2011,d_23,,,0,0,0,20028.0,2978.0,6277.0,d_23,Sunday,7,2,0,0
2011-02-21,Monday,3,2,2011,d_24,National,,0,0,0,16373.0,2735.0,4858.0,d_24,Monday,8,2,1,0
2011-02-22,Tuesday,4,2,2011,d_25,,,0,0,0,14043.0,2459.0,3999.0,d_25,Tuesday,8,2,0,1
2011-02-23,Wednesday,5,2,2011,d_26,,,0,0,0,13932.0,2758.0,4067.0,d_26,Wednesday,8,2,0,1
2011-02-24,Thursday,6,2,2011,d_27,,,0,0,0,13733.0,2559.0,3985.0,d_27,Thursday,8,2,0,1
2011-02-25,Friday,7,2,2011,d_28,,,0,0,0,15480.0,2675.0,4374.0,d_28,Friday,8,2,0,1
2011-02-26,Saturday,1,2,2011,d_29,,,0,0,0,19905.0,4088.0,5915.0,d_29,Saturday,8,2,0,0
2011-02-27,Sunday,2,2,2011,d_30,,,0,0,0,20660.0,2118.0,5929.0,d_30,Sunday,8,2,0,0
2011-02-28,Monday,3,2,2011,d_31,,,0,0,0,15066.0,1771.0,4403.0,d_31,Monday,9,2,0,1
2011-03-01,Tuesday,4,3,2011,d_32,,,1,1,0,16568.0,1833.0,4471.0,d_32,Tuesday,9,3,0,1
2011-03-02,Wednesday,5,3,2011,d_33,,,1,0,1,16218.0,1675.0,4153.0,d_33,Wednesday,9,3,0,1
2011-03-03,Thursday,6,3,2011,d_34,,,1,1,1,17242.0,1855.0,4378.0,d_34,Thursday,9,3,0,1
2011-03-04,Friday,7,3,2011,d_35,,,1,0,0,17512.0,1653.0,4407.0,d_35,Friday,9,3,0,1
2011-03-05,Saturday,1,3,2011,d_36,,,1,1,1,23072.0,2096.0,6034.0,d_36,Saturday,9,3,0,0
2011-03-06,Sunday,2,3,2011,d_37,,,1,1,1,24909.0,3795.0,6172.0,d_37,Sunday,9,3,0,0
2011-03-07,Monday,3,3,2011,d_38,,,1,1,0,17588.0,2687.0,4287.0,d_38,Monday,10,3,0,1
2011-03-08,Tuesday,4,3,2011,d_39,,,1,0,1,16280.0,2519.0,3953.0,d_39,Tuesday,10,3,0,1
2011-03-09,Wednesday,5,3,2011,d_40,Religious,,1,1,1,16039.0,2955.0,3566.0,d_40,Wednesday,10,3,0,1
2011-03-10,Thursday,6,3,2011,d_41,,,1,0,0,16007.0,2686.0,3933.0,d_41,Thursday,10,3,0,1
2011-03-11,Friday,7,3,2011,d_42,,,0,1,1,18125.0,2688.0,4759.0,d_42,Friday,10,3,0,1
2011-03-12,Saturday,1,3,2011,d_43,,,0,1,1,22545.0,3630.0,6050.0,d_43,Saturday,10,3,0,0
2011-03-13,Sunday,2,3,2011,d_44,,,0,1,0,22239.0,3282.0,5896.0,d_44,Sunday,10,3,0,0
2011-03-14,Monday,3,3,2011,d_45,,,0,0,1,17859.0,2500.0,4576.0,d_45,Monday,11,3,0,1
2011-03-15,Tuesday,4,3,2011,d_46,,,0,1,1,17284.0,2522.0,4215.0,d_46,Tuesday,11,3,0,1
2011-03-16,Wednesday,5,3,2011,d_47,Religious,,0,0,0,15685.0,2736.0,4344.0,d_47,Wednesday,11,3,0,1
2011-03-17,Thursday,6,3,2011,d_48,Cultural,,0,0,0,15081.0,2434.0,4264.0,d_48,Thursday,11,3,0,1
2011-03-18,Friday,7,3,2011,d_49,,,0,0,0,16267.0,2687.0,4901.0,d_49,Friday,11,3,0,1
2011-03-19,Saturday,1,3,2011,d_50,,,0,0,0,20467.0,3702.0,6430.0,d_50,Saturday,11,3,0,0
2011-03-20,Sunday,2,3,2011,d_51,Religious,,0,0,0,20289.0,3174.0,6180.0,d_51,Sunday,11,3,0,0
2011-03-21,Monday,3,3,2011,d_52,,,0,0,0,15973.0,2499.0,4629.0,d_52,Monday,12,3,0,1
2011-03-22,Tuesday,4,3,2011,d_53,,,0,0,0,14176.0,2303.0,4013.0,d_53,Tuesday,12,3,0,1
