date,month,event_type_1,event_type_2,snap_CA,snap_TX,snap_WI,Day_name,Week,Month,is_holiday,is_workingday
2011-01-29,1,Regular,Regular,0,0,0,Saturday,4,1,0,0
2011-01-30,1,Regular,Regular,0,0,0,Sunday,4,1,0,0
2011-01-31,1,Regular,Regular,0,0,0,Monday,5,1,0,1
2011-02-01,2,Regular,Regular,1,1,0,Tuesday,5,2,0,1
2011-02-02,2,Regular,Regular,1,0,1,Wednesday,5,2,0,1
2011-02-03,2,Regular,Regular,1,1,1,Thursday,5,2,0,1
2011-02-04,2,Regular,Regular,1,0,0,Friday,5,2,0,1
2011-02-05,2,Regular,Regular,1,1,1,Saturday,5,2,0,0
2011-02-06,2,Sporting,Regular,1,1,1,Sunday,5,2,0,0
2011-02-07,2,Regular,Regular,1,1,0,Monday,6,2,0,1
2011-02-08,2,Regular,Regular,1,0,1,Tuesday,6,2,0,1
2011-02-09,2,Regular,Regular,1,1,1,Wednesday,6,2,0,1
2011-02-10,2,Regular,Regular,1,0,0,Thursday,6,2,0,1
2011-02-11,2,Regular,Regular,0,1,1,Friday,6,2,0,1
2011-02-12,2,Regular,Regular,0,1,1,Saturday,6,2,0,0
2011-02-13,2,Regular,Regular,0,1,0,Sunday,6,2,0,0
2011-02-14,2,Cultural,Regular,0,0,1,Monday,7,2,0,1
2011-02-15,2,Regular,Regular,0,1,1,Tuesday,7,2,0,1
2011-02-16,2,Regular,Regular,0,0,0,Wednesday,7,2,0,1
2011-02-17,2,Regular,Regular,0,0,0,Thursday,7,2,0,1
2011-02-18,2,Regular,Regular,0,0,0,Friday,7,2,0,1
2011-02-19,2,Regular,Regular,0,0,0,Saturday,7,2,0,0
2011-02-20,2,Regular,Regular,0,0,0,Sunday,7,2,0,0
2011-02-21,2,National,Regular,0,0,0,Monday,8,2,1,0
2011-02-22,2,Regular,Regular,0,0,0,Tuesday,8,2,0,1
2011-02-23,2,Regular,Regular,0,0,0,Wednesday,8,2,0,1
2011-02-24,2,Regular,Regular,0,0,0,Thursday,8,2,0,1
2011-02-25,2,Regular,Regular,0,0,0,Friday,8,2,0,1
2011-02-26,2,Regular,Regular,0,0,0,Saturday,8,2,0,0
2011-02-27,2,Regular,Regular,0,0,0,Sunday,8,2,0,0
2011-02-28,2,Regular,Regular,0,0,0,Monday,9,2,0,1
2011-03-01,3,Regular,Regular,1,1,0,Tuesday,9,3,0,1
2011-03-02,3,Regular,Regular,1,0,1,Wednesday,9,3,0,1
2011-03-03,3,Regular,Regular,1,1,1,Thursday,9,3,0,1
2011-03-04,3,Regular,Regular,1,0,0,Friday,9,3,0,1
2011-03-05,3,Regular,Regular,1,1,1,Saturday,9,3,0,0
2011-03-06,3,Regular,Regular,1,1,1,Sunday,9,3,0,0
2011-03-07,3,Regular,Regular,1,1,0,Monday,10,3,0,1
2011-03-08,3,Regular,Regular,1,0,1,Tuesday,10,3,0,1
2011-03-09,3,Religious,Regular,1,1,1,Wednesday,10,3,0,1
2011-03-10,3,Regular,Regular,1,0,0,Thursday,10,3,0,1
2011-03-11,3,Regular,Regular,0,1,1,Friday,10,3,0,1
2011-03-12,3,Regular,Regular,0,1,1,Saturday,10,3,0,0
2011-03-13,3,Regular,Regular,0,1,0,Sunday,10,3,0,0
2011-03-14,3,Regular,Regular,0,0,1,Monday,11,3,0,1
2011-03-15,3,Regular,Regular,0,1,1,Tuesday,11,3,0,1
2011-03-16,3,Religious,Regular,0,0,0,Wednesday,11,3,0,1
2011-03-17,3,Cultural,Regular,0,0,0,Thursday,11,3,0,1
2011-03-18,3,Regular,Regular,0,0,0,Friday,11,3,0,1
2011-03-19,3,Regular,Regular,0,0,0,Saturday,11,3,0,0
2011-03-20,3,Religious,Regular,0,0,0,Sunday,11,3,0,0
